Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle, set apart for the Good News of God,
Ephesians 4:18	being darkened in their understanding, alienated from the life of God, because of the ignorance that is in them, because of the hardening of their hearts;
Ephesians 4:19	who having become callous gave themselves up to lust, to work all uncleanness with greediness.
Ephesians 4:20	But you did not learn Christ that way;
Ephesians 4:21	if indeed you heard him, and were taught in him, even as truth is in Jesus:
Ephesians 4:22	that you put away, as concerning your former way of life, the old man, that grows corrupt after the lusts of deceit;
Ephesians 4:23	and that you be renewed in the spirit of your mind,
Ephesians 4:24	and put on the new man, who in the likeness of God has been created in righteousness and holiness of truth.
Ephesians 4:25	Therefore, putting away falsehood, speak truth each one with his neighbor. For we are members of one another.
Ephesians 4:26	“Be angry, and don’t sin.” Don’t let the sun go down on your wrath,
Ephesians 4:27	neither give place to the devil.
Ephesians 4:28	Let him who stole steal no more; but rather let him labor, working with his hands the thing that is good, that he may have something to give to him who has need.
Ephesians 4:29	Let no corrupt speech proceed out of your mouth, but such as is good for building up as the need may be, that it may give grace to those who hear.
Ephesians 4:30	Don’t grieve the Holy Spirit of God, in whom you were sealed for the day of redemption.
Ephesians 4:31	Let all bitterness, wrath, anger, outcry, and slander, be put away from you, with all malice.
Ephesians 4:32	And be kind to one another, tenderhearted, forgiving each other, just as God also in Christ forgave you.
Ephesians 5:1	Be therefore imitators of God, as beloved children.
Ephesians 5:2	Walk in love, even as Christ also loved you, and gave himself up for us, an offering and a sacrifice to God for a sweet-smelling fragrance.
Ephesians 5:3	But sexual immorality, and all uncleanness, or covetousness, let it not even be mentioned among you, as becomes saints;
Ephesians 5:4	nor filthiness, nor foolish talking, nor jesting, which are not appropriate; but rather giving of thanks.
Ephesians 5:5	Know this for sure, that no sexually immoral person, nor unclean person, nor covetous man, who is an idolater, has any inheritance in the Kingdom of Christ and God.
Ephesians 5:6	Let no one deceive you with empty words. For because of these things, the wrath of God comes on the children of disobedience.
Ephesians 5:7	Therefore don’t be partakers with them.
Ephesians 5:8	For you were once darkness, but are now light in the Lord. Walk as children of light,
Ephesians 5:9	for the fruit of the Spirit is in all goodness and righteousness and truth,
Ephesians 5:10	proving what is well pleasing to the Lord.
Ephesians 5:11	Have no fellowship with the unfruitful works of darkness, but rather even reprove them.
Ephesians 5:12	For the things which are done by them in secret, it is a shame even to speak of.
Ephesians 5:13	But all things, when they are reproved, are revealed by the light, for everything that reveals is light.
Ephesians 5:14	Therefore he says, “Awake, you who sleep, and arise from the dead, and Christ will shine on you.”
Ephesians 5:15	Therefore watch carefully how you walk, not as unwise, but as wise;
Ephesians 5:16	redeeming the time, because the days are evil.
Ephesians 5:17	Therefore don’t be foolish, but understand what the will of the Lord is.
Ephesians 5:18	Don’t be drunken with wine, in which is dissipation, but be filled with the Spirit,
Ephesians 5:19	speaking to one another in psalms, hymns, and spiritual songs; singing, and making melody in your heart to the Lord;
Ephesians 5:20	giving thanks always concerning all things in the name of our Lord Jesus Christ, to God, even the Father;
Ephesians 5:21	subjecting yourselves one to another in the fear of Christ.
Ephesians 5:22	Wives, be subject to your own husbands, as to the Lord.
Ephesians 5:23	For the husband is the head of the wife, and Christ also is the head of the assembly, being himself the savior of the body.
Ephesians 5:24	But as the assembly is subject to Christ, so let the wives also be to their own husbands in everything.
Ephesians 5:25	Husbands, love your wives, even as Christ also loved the assembly, and gave himself up for it;
Ephesians 5:26	that he might sanctify it, having cleansed it by the washing of water with the word,
Ephesians 5:27	that he might present the assembly to himself gloriously, not having spot or wrinkle or any such thing; but that it should be holy and without blemish.
Ephesians 5:28	Even so husbands also ought to love their own wives as their own bodies. He who loves his own wife loves himself.
Ephesians 5:29	For no man ever hated his own flesh; but nourishes and cherishes it, even as the Lord also does the assembly;
Ephesians 5:30	because we are members of his body, of his flesh and bones.
Ephesians 5:31	“For this cause a man will leave his father and mother, and will be joined to his wife. The two will become one flesh.”
Ephesians 5:32	This mystery is great, but I speak concerning Christ and of the assembly.
Ephesians 5:33	Nevertheless each of you must also love his own wife even as himself; and let the wife see that she respects her husband.
Ephesians 6:1	Children, obey your parents in the Lord, for this is right.
Ephesians 6:2	“Honor your father and mother,” which is the first commandment with a promise:
Ephesians 6:3	“that it may be well with you, and you may live long on the earth.”
Ephesians 6:4	You fathers, don’t provoke your children to wrath, but nurture them in the discipline and instruction of the Lord.
Ephesians 6:5	Servants, be obedient to those who according to the flesh are your masters, with fear and trembling, in singleness of your heart, as to Christ;
Ephesians 6:6	not in the way of service only when eyes are on you, as men pleasers; but as servants of Christ, doing the will of God from the heart;
Ephesians 6:7	with good will doing service, as to the Lord, and not to men;
Ephesians 6:8	knowing that whatever good thing each one does, he will receive the same again from the Lord, whether he is bound or free.
Ephesians 6:9	You masters, do the same things to them, and give up threatening, knowing that he who is both their Master and yours is in heaven, and there is no partiality with him.
